"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Docker", "JavaScript", "Go Checksum File", "Go", "Vue", "MS SQL", "YAML", "Dotenv", "SCSS", "XML", "HTTP", "Go Module File", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Setting\SettingView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Song\SongView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\State\403.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\State\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\State\500.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\User\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\User\like.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\vite-env.d.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\lrj32\Desktop\music player\localmusicplayer\tsconfig.app.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\lrj32\Desktop\music player\localmusicplayer\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\lrj32\Desktop\music player\localmusicplayer\vite.config.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 123
"Total", "-", 135, 7, 625, 0, 1104, 232, 1450, 2004, 0, 5687, 5, 96, 3, 34, 82, 4, 16, 892, 2284, 14660
